,1,2,3,4,5,6,7,8,9,10,11
285,19970804,0,0,0,0.275009,0.275009,0,0,0,0.168854,"0.168854
"
286,19970805,0.105212,5,0.3065,0.369236,0.355495,0.147219,6,0.274201,0.281316,"0.195675
"
287,19970806,0.144416,6,0.302457,0.248178,0.237866,0,0,0,0.0848206,"0.0884521
"
288,19970807,0,0,0,0.173657,0.173537,0,0,0,0.118014,"0.118014
"
289,19970808,0.436957,3,0.108834,0.30366,0.26283,0.342103,3,0.143103,0.331874,"0.321708
"
290,19970811,0.014246,5,1.48892,0.343386,0.362449,0.00452334,6,6.75226,0.161509,"0.155167
"
291,19970812,0.0379905,6,1.97651,0.20106,0.20106,0,0,0,0.154225,"0.154225
"
292,19970813,0,0,0,0.147853,0.147782,0,0,0,0.129631,"0.141139
"
293,19970814,0.0485419,6,0.543092,0.335196,0.18057,0,0,0,0.52618,"0.523351
"
294,19970815,0,0,0,0.141106,0.0923162,0,0,0,0.0653572,"0.0653572
"
295,19970818,0.108311,0,0.424314,0.3703,0.343925,0,0,0,0.162627,"0.154128
"
296,19970819,0.00449879,5,100.933,0.368725,0.381197,0.0472069,4,1.84189,0.30407,"0.211164
"
297,19970820,0.160143,0,0.122813,0.257457,0.261777,0.26789,6,0.147429,0.154062,"0.185393
"
298,19970821,0,0,0,0.188549,0.202748,0.211337,4,0.22816,0.191548,"0.250749
"
299,19970822,0.0514659,3,0.160729,0.145024,0.125659,0,0,0,0.0829775,"0.0905014
"
300,19970825,0.0229658,5,3.37273,0.284346,0.195387,0.141183,6,0.215375,0.13931,"0.144688
"
301,19970826,0.0319104,2,0,0.134009,0.111455,0,0,0,0.112957,"0.0808578
"
302,19970827,0.351745,6,0.192771,0.262279,0.298601,0.415331,5,0.0912296,0.224855,"0.222055
"
303,19970828,0.119384,6,1.1819,0.255945,0.279446,0.394159,6,0.198246,0.276066,"0.269062
"
304,19970829,0.378404,3,0.21551,0.321499,0.347044,0.024834,6,7.7972,0.262788,"0.290557
"
305,19970902,0.250006,6,0.0205289,0.253922,0.320775,0.33523,2,0.0916944,0.379999,"0.402984
"
306,19970903,0.00275322,4,81.5757,0.339688,0.38503,0.0883996,3,0.231396,0.229222,"0.245382
"
307,19970904,0,0,0,0.17985,0.172106,0,0,0,0.0899496,"0.0899496
"
308,19970905,0,0,0,0.130784,0.130784,0,0,0,0.0532823,"0.0532823
"
309,19970908,0,0,0,0.149167,0.149167,0,0,0,0.133373,"0.133373
"
310,19970909,0.362605,4,0.185384,0.32326,0.310264,0.209521,0,0.301586,0.285455,"0.294989
"
311,19970910,0.160522,0,0.244524,0.293269,0.184338,0.123736,3,0.545609,0.225055,"0.231286
"
312,19970911,0.130485,6,0.0429688,0.265128,0.228899,0.0903158,3,0.425173,0.161882,"0.187662
"
313,19970912,0.101601,6,0.170232,0.288882,0.269577,0.124879,1,0.132743,0.199012,"0.197306
"
314,19970916,0.0591192,8,0.283466,0.247477,0.252795,0.180281,3,0.0507931,0.180534,"0.197945
"
